Year,Position,Position_recoded,Position_group,Winner,League,playerID
2009,OF,OF,OUTF,Torii Hunter,AL,hunteto01
2009,OF2,OF,OUTF,Adam Jones,AL,jonesad01
2009,OF3,OF,OUTF,Ichiro Suzuki,AL,suzukic01
2009,C,C,C,Joe Mauer,AL,mauerjo01
2009,P,P,P,Mark Buehrle,AL,buehrma01
2010,1B,1B,INF,Mark Teixeira,AL,teixema01
2010,2B,2B,INF,Robinson Cano,AL,canoro01
2010,3B,3B,INF,Evan Longoria,AL,longoev01
2010,SS,SS,INF,Derek Jeter,AL,jeterde01
2010,OF,OF,OUTF,Carl Crawford,AL,crawfca02
2010,OF2,OF,OUTF,Franklin Gutierrez,AL,gutiefr01
2010,OF3,OF,OUTF,Ichiro Suzuki,AL,suzukic01
2010,C,C,C,Joe Mauer,AL,mauerjo01
2010,P,P,P,Mark Buehrle,AL,buehrma01
2011,1B,1B,INF,Adrian Gonzalez,AL,gonzaad01
2011,2B,2B,INF,Dustin Pedroia,AL,pedrodu01
2011,3B,3B,INF,Adrian Beltre,AL,beltrad01
2011,SS,SS,INF,Erick Aybar,AL,aybarer01
2011,OF,OF,OUTF,Alex Gordon,AL,gordoal01
2011,OF2,OF,OUTF,Jacoby Ellsbury,AL,ellsbja01
2011,OF3,OF,OUTF,Nick Markakis,AL,markani01
2011,C,C,C,Matt Wieters,AL,wietema01
2011,P,P,P,Mark Buehrle,AL,buehrma01
2012,1B,1B,INF,Mark Teixeira,AL,teixema01
2012,2B,2B,INF,Robinson Cano,AL,canoro01
2012,3B,3B,INF,Adrian Beltre,AL,beltrad01
2012,SS,SS,INF,J. J. Hardy,AL,hardyjj01
2012,OF,OF,OUTF,Alex Gordon,AL,gordoal01
2012,OF2,OF,OUTF,Adam Jones,AL,jonesad01
2012,OF3,OF,OUTF,Josh Reddick,AL,reddijo01
2012,C,C,C,Matt Wieters,AL,wietema01
2012,P,P,P,Jeremy Hellickson,AL,hellije01
2012,P,P,P,Jake Peavy,AL,peavyja01
2013,1B,1B,INF,Eric Hosmer,AL,hosmeer01
2013,2B,2B,INF,Dustin Pedroia,AL,pedrodu01
2013,3B,3B,INF,Manny Machado,AL,machama01
2013,SS,SS,INF,J. J. Hardy,AL,hardyjj01
2013,OF,OF,OUTF,Alex Gordon,AL,gordoal01
2013,OF2,OF,OUTF,Adam Jones,AL,jonesad01
2013,OF3,OF,OUTF,Shane Victorino,AL,victosh01
2013,C,C,C,Salvador Perez,AL,perezsa02
2013,P,P,P,R. A. Dickey,AL,dickera01
2014,1B,1B,INF,Eric Hosmer,AL,hosmeer01
2014,2B,2B,INF,Dustin Pedroia,AL,pedrodu01
2014,3B,3B,INF,Kyle Seager,AL,seageky01
2014,SS,SS,INF,J. J. Hardy,AL,hardyjj01
2014,OF,OF,OUTF,Alex Gordon,AL,gordoal01
2014,OF2,OF,OUTF,Adam Jones,AL,jonesad01
2014,OF3,OF,OUTF,Nick Markakis,AL,markani01
2014,C,C,C,Salvador Perez,AL,perezsa02
2014,P,P,P,Dallas Keuchel,AL,keuchda01
2015,1B,1B,INF,Eric Hosmer,AL,hosmeer01
2015,2B,2B,INF,Jose Altuve,AL,altuvjo01
2015,3B,3B,INF,Manny Machado,AL,machama01
2015,SS,SS,INF,Alcides Escobar,AL,escobal02
2015,OF,OF,OUTF,Yoenis Cespedes,AL,cespeyo01
2015,OF2,OF,OUTF,Kevin Kiermaier,AL,kiermke01
2015,OF3,OF,OUTF,Kole Calhoun,AL,calhoko01
2015,C,C,C,Salvador Perez,AL,perezsa02
2015,P,P,P,Dallas Keuchel,AL,keuchda01
2016,1B,1B,INF,Mitch Moreland,AL,morelmi01
2016,2B,2B,INF,Ian Kinsler,AL,kinslia01
2016,3B,3B,INF,Adrian Beltre,AL,beltrad01
2016,SS,SS,INF,Francisco Lindor,AL,lindofr01
2016,OF,OF,OUTF,Brett Gardner,AL,gardnbr01
2016,OF2,OF,OUTF,Kevin Kiermaier,AL,kiermke01
2016,OF3,OF,OUTF,Mookie Betts,AL,bettsmo01
2016,C,C,C,Salvador Perez,AL,perezsa02
2016,P,P,P,Dallas Keuchel,AL,keuchda01
1957,1B,1B,INF,Gil Hodges,NL,hodgegi01
1957,2B,2B,INF,Nellie Fox,NL,foxne01
1957,3B,3B,INF,Frank Malzone,NL,malzofr01
1957,SS,SS,INF,Roy McMillan,NL,mcmilro01
1957,OF,OF,OUTF,Minnie Minoso,NL,minosmi01
1957,OF2,OF,OUTF,Al Kaline,NL,kalinal01
1957,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1957,C,C,C,Sherm Lollar,NL,lollash01
1957,P,P,P,Bobby Shantz,NL,shantbo01
1958,1B,1B,INF,Gil Hodges,NL,hodgegi01
1958,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1958,3B,3B,INF,Ken Boyer,NL,boyerke01
1958,SS,SS,INF,Roy McMillan,NL,mcmilro01
1958,OF,OF,OUTF,Hank Aaron,NL,aaronha01
1958,OF2,OF,OUTF,Frank Robinson,NL,robinfr02
1958,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1958,C,C,C,Del Crandall,NL,crandde01
1958,P,P,P,Harvey Haddix,NL,haddiha01
1959,1B,1B,INF,Gil Hodges,NL,hodgegi01
1959,2B,2B,INF,Charlie Neal,NL,nealch01
1959,3B,3B,INF,Ken Boyer,NL,boyerke01
1959,SS,SS,INF,Roy McMillan,NL,mcmilro01
1959,OF,OF,OUTF,Hank Aaron,NL,aaronha01
1959,OF2,OF,OUTF,Jackie Brandt,NL,brandja01
1959,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1959,C,C,C,Del Crandall,NL,crandde01
1959,P,P,P,Harvey Haddix,NL,haddiha01
1960,1B,1B,INF,Bill White,NL,whitebi03
1960,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1960,3B,3B,INF,Ken Boyer,NL,boyerke01
1960,SS,SS,INF,Ernie Banks,NL,bankser01
1960,OF,OF,OUTF,Hank Aaron,NL,aaronha01
1960,OF2,OF,OUTF,Wally Moon,NL,moonwa01
1960,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1960,C,C,C,Del Crandall,NL,crandde01
1960,P,P,P,Harvey Haddix,NL,haddiha01
1961,1B,1B,INF,Bill White,NL,whitebi03
1961,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1961,3B,3B,INF,Ken Boyer,NL,boyerke01
1961,SS,SS,INF,Maury Wills,NL,willsma01
1961,OF,OF,OUTF,Vada Pinson,NL,pinsova01
1961,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1961,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1961,C,C,C,John Roseboro,NL,rosebjo01
1961,P,P,P,Bobby Shantz,NL,shantbo01
1962,1B,1B,INF,Bill White,NL,whitebi03
1962,2B,2B,INF,Ken Hubbs,NL,hubbske01
1962,3B,3B,INF,Jim Davenport,NL,davenji01
1962,SS,SS,INF,Maury Wills,NL,willsma01
1962,OF,OF,OUTF,Bill Virdon,NL,virdobi01
1962,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1962,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1962,C,C,C,Del Crandall,NL,crandde01
1962,P,P,P,Bobby Shantz,NL,shantbo01
1963,1B,1B,INF,Bill White,NL,whitebi03
1963,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1963,3B,3B,INF,Ken Boyer,NL,boyerke01
1963,SS,SS,INF,Bobby Wine,NL,winebo01
1963,OF,OF,OUTF,Curt Flood,NL,floodcu01
1963,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1963,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1963,C,C,C,Johnny Edwards,NL,edwarjo01
1963,P,P,P,Bobby Shantz,NL,shantbo01
1964,1B,1B,INF,Bill White,NL,whitebi03
1964,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1964,3B,3B,INF,Ron Santo,NL,santoro01
1964,SS,SS,INF,Ruben Amaro Sr.,NL,amaroru01
1964,OF,OF,OUTF,Curt Flood,NL,floodcu01
1964,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1964,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1964,C,C,C,Johnny Edwards,NL,edwarjo01
1964,P,P,P,Bobby Shantz,NL,shantbo01
1965,1B,1B,INF,Bill White,NL,whitebi03
1965,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1965,3B,3B,INF,Ron Santo,NL,santoro01
1965,SS,SS,INF,Leo Cardenas,NL,cardele01
1965,OF,OF,OUTF,Curt Flood,NL,floodcu01
1965,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1965,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1965,C,C,C,Joe Torre,NL,torrejo01
1965,P,P,P,Bob Gibson,NL,gibsobo01
1966,1B,1B,INF,Bill White,NL,whitebi03
1966,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1966,3B,3B,INF,Ron Santo,NL,santoro01
1966,SS,SS,INF,Gene Alley,NL,alleyge01
1966,OF,OF,OUTF,Curt Flood,NL,floodcu01
1966,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1966,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1966,C,C,C,John Roseboro,NL,rosebjo01
1966,P,P,P,Bob Gibson,NL,gibsobo01
1967,1B,1B,INF,Wes Parker,NL,parkewe01
1967,2B,2B,INF,Bill Mazeroski,NL,mazerbi01
1967,3B,3B,INF,Ron Santo,NL,santoro01
1967,SS,SS,INF,Gene Alley,NL,alleyge01
1967,OF,OF,OUTF,Curt Flood,NL,floodcu01
1967,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1967,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1967,C,C,C,Randy Hundley,NL,hundlra01
1967,P,P,P,Bob Gibson,NL,gibsobo01
1968,1B,1B,INF,Wes Parker,NL,parkewe01
1968,2B,2B,INF,Glenn Beckert,NL,beckegl01
1968,3B,3B,INF,Ron Santo,NL,santoro01
1968,SS,SS,INF,Dal Maxvill,NL,maxvida01
1968,OF,OF,OUTF,Curt Flood,NL,floodcu01
1968,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1968,OF3,OF,OUTF,Willie Mays,NL,mayswi01
1968,C,C,C,Johnny Bench,NL,benchjo01
1968,P,P,P,Bob Gibson,NL,gibsobo01
1969,1B,1B,INF,Wes Parker,NL,parkewe01
1969,2B,2B,INF,Felix Millan,NL,millafe01
1969,3B,3B,INF,Clete Boyer,NL,boyercl02
1969,SS,SS,INF,Don Kessinger,NL,kessido01
1969,OF,OF,OUTF,Curt Flood,NL,floodcu01
1969,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1969,OF3,OF,OUTF,Pete Rose,NL,rosepe01
1969,C,C,C,Johnny Bench,NL,benchjo01
1969,P,P,P,Bob Gibson,NL,gibsobo01
1970,1B,1B,INF,Wes Parker,NL,parkewe01
1970,2B,2B,INF,Tommy Helms,NL,helmsto01
1970,3B,3B,INF,Doug Rader,NL,raderdo02
1970,SS,SS,INF,Don Kessinger,NL,kessido01
1970,OF,OF,OUTF,Tommie Agee,NL,ageeto01
1970,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1970,OF3,OF,OUTF,Pete Rose,NL,rosepe01
1970,C,C,C,Johnny Bench,NL,benchjo01
1970,P,P,P,Bob Gibson,NL,gibsobo01
1971,1B,1B,INF,Wes Parker,NL,parkewe01
1971,2B,2B,INF,Tommy Helms,NL,helmsto01
1971,3B,3B,INF,Doug Rader,NL,raderdo02
1971,SS,SS,INF,Bud Harrelson,NL,harrebu01
1971,OF,OF,OUTF,Willie Davis,NL,daviswi02
1971,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1971,OF3,OF,OUTF,Bobby Bonds,NL,bondsbo01
1971,C,C,C,Johnny Bench,NL,benchjo01
1971,P,P,P,Bob Gibson,NL,gibsobo01
1972,1B,1B,INF,Wes Parker,NL,parkewe01
1972,2B,2B,INF,Felix Millan,NL,millafe01
1972,3B,3B,INF,Doug Rader,NL,raderdo02
1972,SS,SS,INF,Larry Bowa,NL,bowala01
1972,OF,OF,OUTF,Willie Davis,NL,daviswi02
1972,OF2,OF,OUTF,Roberto Clemente,NL,clemero01
1972,OF3,OF,OUTF,Cesar Cedeno,NL,cedence01
1972,C,C,C,Johnny Bench,NL,benchjo01
1972,P,P,P,Bob Gibson,NL,gibsobo01
1973,1B,1B,INF,Mike Jorgensen,NL,jorgemi01
1973,2B,2B,INF,Joe Morgan,NL,morgajo02
1973,3B,3B,INF,Doug Rader,NL,raderdo02
1973,SS,SS,INF,Roger Metzger,NL,metzgro01
1973,OF,OF,OUTF,Willie Davis,NL,daviswi02
1973,OF2,OF,OUTF,Bobby Bonds,NL,bondsbo01
1973,OF3,OF,OUTF,Cesar Cedeno,NL,cedence01
1973,C,C,C,Johnny Bench,NL,benchjo01
1973,P,P,P,Bob Gibson,NL,gibsobo01
1974,1B,1B,INF,Steve Garvey,NL,garvest01
1974,2B,2B,INF,Joe Morgan,NL,morgajo02
1974,3B,3B,INF,Doug Rader,NL,raderdo02
1974,SS,SS,INF,Dave Concepcion,NL,conceda01
1974,OF,OF,OUTF,Cesar Geronimo,NL,geronce01
1974,OF2,OF,OUTF,Bobby Bonds,NL,bondsbo01
1974,OF3,OF,OUTF,Cesar Cedeno,NL,cedence01
1974,C,C,C,Johnny Bench,NL,benchjo01
1974,P,P,P,Andy Messersmith,NL,messean01
1975,1B,1B,INF,Steve Garvey,NL,garvest01
1975,2B,2B,INF,Joe Morgan,NL,morgajo02
1975,3B,3B,INF,Ken Reitz,NL,reitzke01
1975,SS,SS,INF,Dave Concepcion,NL,conceda01
1975,OF,OF,OUTF,Cesar Geronimo,NL,geronce01
1975,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1975,OF3,OF,OUTF,Cesar Cedeno,NL,cedence01
1975,C,C,C,Johnny Bench,NL,benchjo01
1975,P,P,P,Andy Messersmith,NL,messean01
1976,1B,1B,INF,Steve Garvey,NL,garvest01
1976,2B,2B,INF,Joe Morgan,NL,morgajo02
1976,3B,3B,INF,Mike Schmidt,NL,schmimi01
1976,SS,SS,INF,Dave Concepcion,NL,conceda01
1976,OF,OF,OUTF,Cesar Geronimo,NL,geronce01
1976,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1976,OF3,OF,OUTF,Cesar Cedeno,NL,cedence01
1976,C,C,C,Johnny Bench,NL,benchjo01
1976,P,P,P,Jim Kaat,NL,kaatji01
1977,1B,1B,INF,Steve Garvey,NL,garvest01
1977,2B,2B,INF,Joe Morgan,NL,morgajo02
1977,3B,3B,INF,Mike Schmidt,NL,schmimi01
1977,SS,SS,INF,Dave Concepcion,NL,conceda01
1977,OF,OF,OUTF,Cesar Geronimo,NL,geronce01
1977,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1977,OF3,OF,OUTF,Dave Parker,NL,parkeda01
1977,C,C,C,Johnny Bench,NL,benchjo01
1977,P,P,P,Jim Kaat,NL,kaatji01
1978,1B,1B,INF,Keith Hernandez,NL,hernake01
1978,2B,2B,INF,Davey Lopes,NL,lopesda01
1978,3B,3B,INF,Mike Schmidt,NL,schmimi01
1978,SS,SS,INF,Larry Bowa,NL,bowala01
1978,OF,OF,OUTF,Ellis Valentine,NL,valenel01
1978,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1978,OF3,OF,OUTF,Dave Parker,NL,parkeda01
1978,C,C,C,Bob Boone,NL,boonebo01
1978,P,P,P,Phil Niekro,NL,niekrph01
1979,1B,1B,INF,Keith Hernandez,NL,hernake01
1979,2B,2B,INF,Manny Trillo,NL,trillma01
1979,3B,3B,INF,Mike Schmidt,NL,schmimi01
1979,SS,SS,INF,Dave Concepcion,NL,conceda01
1979,OF,OF,OUTF,Dave Winfield,NL,winfida01
1979,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1979,OF3,OF,OUTF,Dave Parker,NL,parkeda01
1979,C,C,C,Bob Boone,NL,boonebo01
1979,P,P,P,Phil Niekro,NL,niekrph01
1980,1B,1B,INF,Keith Hernandez,NL,hernake01
1980,2B,2B,INF,Doug Flynn,NL,flynndo01
1980,3B,3B,INF,Mike Schmidt,NL,schmimi01
1980,SS,SS,INF,Ozzie Smith,NL,smithoz01
1980,OF,OF,OUTF,Dave Winfield,NL,winfida01
1980,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1980,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1980,C,C,C,Gary Carter,NL,cartega01
1980,P,P,P,Phil Niekro,NL,niekrph01
1981,1B,1B,INF,Keith Hernandez,NL,hernake01
1981,2B,2B,INF,Manny Trillo,NL,trillma01
1981,3B,3B,INF,Mike Schmidt,NL,schmimi01
1981,SS,SS,INF,Ozzie Smith,NL,smithoz01
1981,OF,OF,OUTF,Dusty Baker,NL,bakerdu01
1981,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1981,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1981,C,C,C,Gary Carter,NL,cartega01
1981,P,P,P,Steve Carlton,NL,carltst01
1982,1B,1B,INF,Keith Hernandez,NL,hernake01
1982,2B,2B,INF,Manny Trillo,NL,trillma01
1982,3B,3B,INF,Mike Schmidt,NL,schmimi01
1982,SS,SS,INF,Ozzie Smith,NL,smithoz01
1982,OF,OF,OUTF,Dale Murphy,NL,murphda05
1982,OF2,OF,OUTF,Garry Maddox,NL,maddoga01
1982,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1982,C,C,C,Gary Carter,NL,cartega01
1982,P,P,P,Phil Niekro,NL,niekrph01
1983,1B,1B,INF,Keith Hernandez,NL,hernake01
1983,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1983,3B,3B,INF,Mike Schmidt,NL,schmimi01
1983,SS,SS,INF,Ozzie Smith,NL,smithoz01
1983,OF,OF,OUTF,Dale Murphy,NL,murphda05
1983,OF2,OF,OUTF,Willie McGee,NL,mcgeewi01
1983,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1983,C,C,C,Tony Pena,NL,penato01
1983,P,P,P,Phil Niekro,NL,niekrph01
1984,1B,1B,INF,Keith Hernandez,NL,hernake01
1984,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1984,3B,3B,INF,Mike Schmidt,NL,schmimi01
1984,SS,SS,INF,Ozzie Smith,NL,smithoz01
1984,OF,OF,OUTF,Dale Murphy,NL,murphda05
1984,OF2,OF,OUTF,Bob Dernier,NL,dernibo01
1984,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1984,C,C,C,Tony Pena,NL,penato01
1984,P,P,P,Joaquin Andujar,NL,andujjo01
1985,1B,1B,INF,Keith Hernandez,NL,hernake01
1985,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1985,3B,3B,INF,Tim Wallach,NL,wallati01
1985,SS,SS,INF,Ozzie Smith,NL,smithoz01
1985,OF,OF,OUTF,Dale Murphy,NL,murphda05
1985,OF2,OF,OUTF,Willie McGee,NL,mcgeewi01
1985,OF3,OF,OUTF,Andre Dawson,NL,dawsoan01
1985,C,C,C,Tony Pena,NL,penato01
1985,P,P,P,Rick Reuschel,NL,reuscri01
1986,1B,1B,INF,Keith Hernandez,NL,hernake01
1986,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1986,3B,3B,INF,Mike Schmidt,NL,schmimi01
1986,SS,SS,INF,Ozzie Smith,NL,smithoz01
1986,OF,OF,OUTF,Dale Murphy,NL,murphda05
1986,OF2,OF,OUTF,Willie McGee,NL,mcgeewi01
1986,OF3,OF,OUTF,Tony Gwynn,NL,gwynnto01
1986,C,C,C,Jody Davis,NL,davisjo02
1986,P,P,P,Fernando Valenzuela,NL,valenfe01
1987,1B,1B,INF,Keith Hernandez,NL,hernake01
1987,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1987,3B,3B,INF,Terry Pendleton,NL,pendlte01
1987,SS,SS,INF,Ozzie Smith,NL,smithoz01
1987,OF,OF,OUTF,Eric Davis,NL,daviser01
1987,OF2,OF,OUTF,Andre Dawson,NL,dawsoan01
1987,OF3,OF,OUTF,Tony Gwynn,NL,gwynnto01
1987,C,C,C,Mike LaValliere,NL,lavalmi01
1987,P,P,P,Rick Reuschel,NL,reuscri01
1988,1B,1B,INF,Keith Hernandez,NL,hernake01
1988,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1988,3B,3B,INF,Tim Wallach,NL,wallati01
1988,SS,SS,INF,Ozzie Smith,NL,smithoz01
1988,OF,OF,OUTF,Eric Davis,NL,daviser01
1988,OF2,OF,OUTF,Andre Dawson,NL,dawsoan01
1988,OF3,OF,OUTF,Andy Van Slyke,NL,vanslan01
1988,C,C,C,Benito Santiago,NL,santibe01
1988,P,P,P,Orel Hershiser,NL,hershor01
1989,1B,1B,INF,Andres Galarraga,NL,galaran01
1989,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1989,3B,3B,INF,Terry Pendleton,NL,pendlte01
1989,SS,SS,INF,Ozzie Smith,NL,smithoz01
1989,OF,OF,OUTF,Eric Davis,NL,daviser01
1989,OF2,OF,OUTF,Tony Gwynn,NL,gwynnto01
1989,OF3,OF,OUTF,Andy Van Slyke,NL,vanslan01
1989,C,C,C,Benito Santiago,NL,santibe01
1989,P,P,P,Ron Darling,NL,darliro01
1990,1B,1B,INF,Andres Galarraga,NL,galaran01
1990,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1990,3B,3B,INF,Tim Wallach,NL,wallati01
1990,SS,SS,INF,Ozzie Smith,NL,smithoz01
1990,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1990,OF2,OF,OUTF,Tony Gwynn,NL,gwynnto01
1990,OF3,OF,OUTF,Andy Van Slyke,NL,vanslan01
1990,C,C,C,Benito Santiago,NL,santibe01
1990,P,P,P,Greg Maddux,NL,maddugr01
1991,1B,1B,INF,Will Clark,NL,clarkwi02
1991,2B,2B,INF,Ryne Sandberg,NL,sandbry01
1991,3B,3B,INF,Matt Williams,NL,willima04
1991,SS,SS,INF,Ozzie Smith,NL,smithoz01
1991,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1991,OF2,OF,OUTF,Tony Gwynn,NL,gwynnto01
1991,OF3,OF,OUTF,Andy Van Slyke,NL,vanslan01
1991,C,C,C,Tom Pagnozzi,NL,pagnoto01
1991,P,P,P,Greg Maddux,NL,maddugr01
1992,1B,1B,INF,Mark Grace,NL,gracema01
1992,2B,2B,INF,Jose Lind,NL,lindjo01
1992,3B,3B,INF,Terry Pendleton,NL,pendlte01
1992,SS,SS,INF,Ozzie Smith,NL,smithoz01
1992,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1992,OF2,OF,OUTF,Larry Walker,NL,walkela01
1992,OF3,OF,OUTF,Andy Van Slyke,NL,vanslan01
1992,C,C,C,Tom Pagnozzi,NL,pagnoto01
1992,P,P,P,Greg Maddux,NL,maddugr01
1993,1B,1B,INF,Mark Grace,NL,gracema01
1993,2B,2B,INF,Robby Thompson,NL,thompro01
1993,3B,3B,INF,Matt Williams,NL,willima04
1993,SS,SS,INF,Jay Bell,NL,bellja01
1993,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1993,OF2,OF,OUTF,Larry Walker,NL,walkela01
1993,OF3,OF,OUTF,Marquis Grissom,NL,grissma02
1993,C,C,C,Kirt Manwaring,NL,manwaki01
1993,P,P,P,Greg Maddux,NL,maddugr01
1994,1B,1B,INF,Jeff Bagwell,NL,bagweje01
1994,2B,2B,INF,Craig Biggio,NL,biggicr01
1994,3B,3B,INF,Matt Williams,NL,willima04
1994,SS,SS,INF,Barry Larkin,NL,larkiba01
1994,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1994,OF2,OF,OUTF,Darren Lewis,NL,lewisda01
1994,OF3,OF,OUTF,Marquis Grissom,NL,grissma02
1994,C,C,C,Tom Pagnozzi,NL,pagnoto01
1994,P,P,P,Greg Maddux,NL,maddugr01
1995,1B,1B,INF,Mark Grace,NL,gracema01
1995,2B,2B,INF,Craig Biggio,NL,biggicr01
1995,3B,3B,INF,Ken Caminiti,NL,caminke01
1995,SS,SS,INF,Barry Larkin,NL,larkiba01
1995,OF,OF,OUTF,Raul Mondesi,NL,mondera01
1995,OF2,OF,OUTF,Steve Finley,NL,finlest01
1995,OF3,OF,OUTF,Marquis Grissom,NL,grissma02
1995,C,C,C,Charles Johnson,NL,johnsch04
1995,P,P,P,Greg Maddux,NL,maddugr01
1996,1B,1B,INF,Mark Grace,NL,gracema01
1996,2B,2B,INF,Craig Biggio,NL,biggicr01
1996,3B,3B,INF,Ken Caminiti,NL,caminke01
1996,SS,SS,INF,Barry Larkin,NL,larkiba01
1996,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1996,OF2,OF,OUTF,Steve Finley,NL,finlest01
1996,OF3,OF,OUTF,Marquis Grissom,NL,grissma02
1996,C,C,C,Charles Johnson,NL,johnsch04
1996,P,P,P,Greg Maddux,NL,maddugr01
1997,1B,1B,INF,J. T. Snow,NL,snowjt01
1997,2B,2B,INF,Craig Biggio,NL,biggicr01
1997,3B,3B,INF,Ken Caminiti,NL,caminke01
1997,SS,SS,INF,Rey Ordonez,NL,ordonre01
1997,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1997,OF2,OF,OUTF,Larry Walker,NL,walkela01
1997,OF3,OF,OUTF,Raul Mondesi,NL,mondera01
1997,C,C,C,Charles Johnson,NL,johnsch04
1997,P,P,P,Greg Maddux,NL,maddugr01
1998,1B,1B,INF,J. T. Snow,NL,snowjt01
1998,2B,2B,INF,Bret Boone,NL,boonebr01
1998,3B,3B,INF,Scott Rolen,NL,rolensc01
1998,SS,SS,INF,Rey Ordonez,NL,ordonre01
1998,OF,OF,OUTF,Barry Bonds,NL,bondsba01
1998,OF2,OF,OUTF,Larry Walker,NL,walkela01
1998,OF3,OF,OUTF,Andruw Jones,NL,jonesan01
1998,C,C,C,Charles Johnson,NL,johnsch04
1998,P,P,P,Greg Maddux,NL,maddugr01
1999,1B,1B,INF,J. T. Snow,NL,snowjt01
1999,2B,2B,INF,Pokey Reese,NL,reesepo01
1999,3B,3B,INF,Robin Ventura,NL,venturo01
1999,SS,SS,INF,Rey Ordonez,NL,ordonre01
1999,OF,OF,OUTF,Steve Finley,NL,finlest01
1999,OF2,OF,OUTF,Larry Walker,NL,walkela01
1999,OF3,OF,OUTF,Andruw Jones,NL,jonesan01
1999,C,C,C,Mike Lieberthal,NL,liebemi01
1999,P,P,P,Greg Maddux,NL,maddugr01
2000,1B,1B,INF,J. T. Snow,NL,snowjt01
2000,2B,2B,INF,Pokey Reese,NL,reesepo01
2000,3B,3B,INF,Scott Rolen,NL,rolensc01
2000,SS,SS,INF,Neifi Perez,NL,perezne01
2000,OF,OF,OUTF,Steve Finley,NL,finlest01
2000,OF2,OF,OUTF,Jim Edmonds,NL,edmonji01
2000,OF3,OF,OUTF,Andruw Jones,NL,jonesan01
2000,C,C,C,Mike Matheny,NL,mathemi01
2000,P,P,P,Greg Maddux,NL,maddugr01
2001,1B,1B,INF,Todd Helton,NL,heltoto01
2001,2B,2B,INF,Fernando Vina,NL,vinafe01
2001,3B,3B,INF,Scott Rolen,NL,rolensc01
2001,SS,SS,INF,Orlando Cabrera,NL,cabreor01
2001,OF,OF,OUTF,Larry Walker,NL,walkela01
2001,OF2,OF,OUTF,Jim Edmonds,NL,edmonji01
2001,OF3,OF,OUTF,Andruw Jones,NL,jonesan01
2001,C,C,C,Brad Ausmus,NL,ausmubr01
2001,P,P,P,Greg Maddux,NL,maddugr01
2002,1B,1B,INF,Todd Helton,NL,heltoto01
2002,2B,2B,INF,Fernando Vina,NL,vinafe01
