Year,Position,Position_recoded,Position_group,Winner,League,playerID
1972,P,P,P,Jim Kaat,AL,kaatji01
1973,1B,1B,INF,George Scott,AL,scottge02
1973,2B,2B,INF,Bobby Grich,AL,grichbo01
1973,3B,3B,INF,Brooks Robinson,AL,robinbr01
1973,SS,SS,INF,Mark Belanger,AL,belanma01
1973,OF,OF,OUTF,Paul Blair,AL,blairpa01
1973,OF2,OF,OUTF,Amos Otis,AL,otisam01
1973,OF3,OF,OUTF,Mickey Stanley,AL,stanlmi01
1973,C,C,C,Thurman Munson,AL,munsoth01
1973,P,P,P,Jim Kaat,AL,kaatji01
1974,1B,1B,INF,George Scott,AL,scottge02
1974,2B,2B,INF,Bobby Grich,AL,grichbo01
1974,3B,3B,INF,Brooks Robinson,AL,robinbr01
1974,SS,SS,INF,Mark Belanger,AL,belanma01
1974,OF,OF,OUTF,Paul Blair,AL,blairpa01
1974,OF2,OF,OUTF,Amos Otis,AL,otisam01
1974,OF3,OF,OUTF,Joe Rudi,AL,rudijo01
1974,C,C,C,Thurman Munson,AL,munsoth01
1974,P,P,P,Jim Kaat,AL,kaatji01
1975,1B,1B,INF,George Scott,AL,scottge02
1975,2B,2B,INF,Bobby Grich,AL,grichbo01
1975,3B,3B,INF,Brooks Robinson,AL,robinbr01
1975,SS,SS,INF,Mark Belanger,AL,belanma01
1975,OF,OF,OUTF,Paul Blair,AL,blairpa01
1975,OF2,OF,OUTF,Fred Lynn,AL,lynnfr01
1975,OF3,OF,OUTF,Joe Rudi,AL,rudijo01
1975,C,C,C,Thurman Munson,AL,munsoth01
1975,P,P,P,Jim Kaat,AL,kaatji01
1976,1B,1B,INF,George Scott,AL,scottge02
1976,2B,2B,INF,Bobby Grich,AL,grichbo01
1976,3B,3B,INF,Aurelio Rodriguez,AL,rodriau01
1976,SS,SS,INF,Mark Belanger,AL,belanma01
1976,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1976,OF2,OF,OUTF,Rick Manning,AL,manniri01
1976,OF3,OF,OUTF,Joe Rudi,AL,rudijo01
1976,C,C,C,Jim Sundberg,AL,sundbji01
1976,P,P,P,Jim Palmer,AL,palmeji01
1977,1B,1B,INF,Jim Spencer,AL,spencji01
1977,2B,2B,INF,Frank White,AL,whitefr01
1977,3B,3B,INF,Graig Nettles,AL,nettlgr01
1977,SS,SS,INF,Mark Belanger,AL,belanma01
1977,OF,OF,OUTF,Juan Beniquez,AL,beniqju01
1977,OF2,OF,OUTF,Al Cowens,AL,cowenal01
1977,OF3,OF,OUTF,Carl Yastrzemski,AL,yastrca01
1977,C,C,C,Jim Sundberg,AL,sundbji01
1977,P,P,P,Jim Palmer,AL,palmeji01
1978,1B,1B,INF,Chris Chambliss,AL,chambch01
1978,2B,2B,INF,Frank White,AL,whitefr01
1978,3B,3B,INF,Graig Nettles,AL,nettlgr01
1978,SS,SS,INF,Mark Belanger,AL,belanma01
1978,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1978,OF2,OF,OUTF,Fred Lynn,AL,lynnfr01
1978,OF3,OF,OUTF,Rick Miller,AL,milleri01
1978,C,C,C,Jim Sundberg,AL,sundbji01
1978,P,P,P,Jim Palmer,AL,palmeji01
1979,1B,1B,INF,Cecil Cooper,AL,coopece01
1979,2B,2B,INF,Frank White,AL,whitefr01
1979,3B,3B,INF,Buddy Bell,AL,bellbu01
1979,SS,SS,INF,Rick Burleson,AL,burleri01
1979,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1979,OF2,OF,OUTF,Fred Lynn,AL,lynnfr01
1979,OF3,OF,OUTF,Sixto Lezcano,AL,lezcasi01
1979,C,C,C,Jim Sundberg,AL,sundbji01
1979,P,P,P,Jim Palmer,AL,palmeji01
1980,1B,1B,INF,Cecil Cooper,AL,coopece01
1980,2B,2B,INF,Frank White,AL,whitefr01
1980,3B,3B,INF,Buddy Bell,AL,bellbu01
1980,SS,SS,INF,Alan Trammell,AL,trammal01
1980,OF,OF,OUTF,Willie Wilson,AL,wilsowi02
1980,OF2,OF,OUTF,Fred Lynn,AL,lynnfr01
1980,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1980,C,C,C,Jim Sundberg,AL,sundbji01
1980,P,P,P,Mike Norris,AL,norrimi01
1981,1B,1B,INF,Mike Squires,AL,squirmi01
1981,2B,2B,INF,Frank White,AL,whitefr01
1981,3B,3B,INF,Buddy Bell,AL,bellbu01
1981,SS,SS,INF,Alan Trammell,AL,trammal01
1981,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1981,OF2,OF,OUTF,Rickey Henderson,AL,henderi01
1981,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1981,C,C,C,Jim Sundberg,AL,sundbji01
1981,P,P,P,Mike Norris,AL,norrimi01
1982,1B,1B,INF,Eddie Murray,AL,murraed02
1982,2B,2B,INF,Frank White,AL,whitefr01
1982,3B,3B,INF,Buddy Bell,AL,bellbu01
1982,SS,SS,INF,Robin Yount,AL,yountro01
1982,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1982,OF2,OF,OUTF,Dave Winfield,AL,winfida01
1982,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1982,C,C,C,Bob Boone,AL,boonebo01
1982,P,P,P,Ron Guidry,AL,guidrro01
1983,1B,1B,INF,Eddie Murray,AL,murraed02
1983,2B,2B,INF,Lou Whitaker,AL,whitalo01
1983,3B,3B,INF,Buddy Bell,AL,bellbu01
1983,SS,SS,INF,Alan Trammell,AL,trammal01
1983,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1983,OF2,OF,OUTF,Dave Winfield,AL,winfida01
1983,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1983,C,C,C,Lance Parrish,AL,parrila02
1983,P,P,P,Ron Guidry,AL,guidrro01
1984,1B,1B,INF,Eddie Murray,AL,murraed02
1984,2B,2B,INF,Lou Whitaker,AL,whitalo01
1984,3B,3B,INF,Buddy Bell,AL,bellbu01
1984,SS,SS,INF,Alan Trammell,AL,trammal01
1984,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1984,OF2,OF,OUTF,Dave Winfield,AL,winfida01
1984,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1984,C,C,C,Lance Parrish,AL,parrila02
1984,P,P,P,Ron Guidry,AL,guidrro01
1985,1B,1B,INF,Don Mattingly,AL,mattido01
1985,2B,2B,INF,Lou Whitaker,AL,whitalo01
1985,3B,3B,INF,George Brett,AL,brettge01
1985,SS,SS,INF,Alfredo Griffin,AL,griffal01
1985,OF,OF,OUTF,Dwight Evans,AL,evansdw01
1985,OF2,OF,OUTF,Dave Winfield,AL,winfida01
1985,OF2,OF,OUTF,Gary Pettis,AL,pettiga01
1985,OF3,OF,OUTF,Dwayne Murphy,AL,murphdw01
1985,C,C,C,Lance Parrish,AL,parrila02
1985,P,P,P,Ron Guidry,AL,guidrro01
1986,1B,1B,INF,Don Mattingly,AL,mattido01
1986,2B,2B,INF,Frank White,AL,whitefr01
1986,3B,3B,INF,Gary Gaetti,AL,gaettga01
